Date,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,VWAP,Month,Year,Day_Perc_Change,Trend,signal,Bolinger,Upper Band,Lower Band
2017-09-14,MINDTREE,EQ,2017-09-14,444.25,447.5,463.7,444.75,463.65,462.55,456.6,995789,454674540.75,16333,293512,29.48,508.61137025004206,9,2017,0.04119302194710195,Slight or No change,0.0,458.2500000000001,479.7577709334593,436.7422290665409
2017-09-15,MINDTREE,EQ,2017-09-15,462.55,463.9,469.8,461.2,466.0,465.05,465.23,704455,327732918.7,16086,300556,42.67,507.9449238191349,9,2017,0.00540482110042162,Slight or No change,0.0,457.71750000000003,477.8922177636254,437.54278223637465
2017-09-18,MINDTREE,EQ,2017-09-18,465.05,467.9,474.6,466.5,471.95,472.95,470.75,451015,212315376.0,8676,219196,48.6,507.6054757756907,9,2017,0.01698742070745074,Slight or No change,0.0,458.055,479.0368944506134,437.07310554938664
2017-09-19,MINDTREE,EQ,2017-09-19,472.95,473.45,475.0,467.0,473.45,473.45,471.06,234782,110595850.0,5925,116627,49.67,507.4338766825735,9,2017,0.0010571942065757958,Slight or No change,0.0,458.6575000000001,480.70861943691057,436.6063805630896
2017-09-20,MINDTREE,EQ,2017-09-20,473.45,474.95,477.4,461.55,464.3,464.3,467.46,432822,202325973.75,6998,260121,60.1,507.0380420394907,9,2017,-0.019326222409969285,Slight or No change,0.0,459.175,481.24673710760453,437.1032628923955
2017-09-21,MINDTREE,EQ,2017-09-21,464.3,465.1,469.3,453.5,463.55,462.5,459.5,613293,281810595.7,17257,285510,46.55,506.46633407294695,9,2017,-0.0038768037906525827,Slight or No change,0.0,459.255,481.3646287669053,437.1453712330947
2017-09-22,MINDTREE,EQ,2017-09-22,462.5,461.75,471.85,459.35,464.8,464.2,465.86,365550,170293818.85,17063,120620,33.0,506.145407028418,9,2017,0.0036756756756757274,Slight or No change,0.0,459.055,480.89465249385785,437.21534750614217
2017-09-25,MINDTREE,EQ,2017-09-25,464.2,460.0,468.6,451.1,463.05,465.05,460.21,516584,237737797.65,19176,226350,43.82,505.70912837692816,9,2017,0.0018311072813443907,Slight or No change,0.0,458.40749999999997,478.5869652007755,438.2280347992244
2017-09-26,MINDTREE,EQ,2017-09-26,465.05,464.9,472.0,460.05,469.9,471.1,468.08,251415,117682886.6,7329,93838,37.32,505.53122940426147,9,2017,0.013009353832921232,Slight or No change,0.0,458.35749999999996,478.3985965925374,438.31640340746253
2017-09-27,MINDTREE,EQ,2017-09-27,471.1,467.45,474.95,456.4,461.0,458.8,464.2,414942,192616562.55,17658,233309,56.23,505.13811644074735,9,2017,-0.026109106346847818,Slight or No change,0.0,458.19249999999994,478.1580565253828,438.2269434746171
2017-09-28,MINDTREE,EQ,2017-09-28,458.8,460.9,466.05,452.05,460.0,461.9,461.73,954583,440757745.7,22923,675697,70.78,504.3172380087524,9,2017,0.006756756756756578,Slight or No change,0.0,458.2374999999999,478.23373319790744,438.24126680209235
2017-09-29,MINDTREE,EQ,2017-09-29,461.9,464.5,467.75,460.5,464.6,464.85,464.19,246685,114507844.3,16372,133805,54.24,504.12455103585353,9,2017,0.006386663780039159,Slight or No change,0.0,458.4374999999999,478.6228744603635,438.25212553963627
2017-10-03,MINDTREE,EQ,2017-10-03,464.85,465.0,482.05,465.0,480.05,479.2,478.36,518751,248150321.75,10480,139459,26.88,503.87125807536097,10,2017,0.030870173174142087,Slight or No change,0.0,459.6525,481.77382752749674,437.5311724725032
2017-10-04,MINDTREE,EQ,2017-10-04,479.2,483.0,485.55,478.35,480.1,480.2,481.9,263337,126901599.9,6831,57447,21.82,503.74976951835146,10,2017,0.002086811352253859,Slight or No change,0.0,460.90749999999997,484.7243510667696,437.09064893323034
2017-10-05,MINDTREE,EQ,2017-10-05,480.2,484.0,485.9,472.65,479.05,478.35,480.28,338782,162711831.05,8478,86651,25.58,503.5831621685832,10,2017,-0.003852561432736268,Slight or No change,0.0,462.29499999999996,486.8066277455555,437.78337225444443
2017-10-06,MINDTREE,EQ,2017-10-06,478.35,477.8,483.85,475.6,480.3,480.05,480.4,356652,171334569.7,10977,80703,22.63,503.4217707886302,10,2017,0.00355388313996019,Slight or No change,1.0,464.03499999999997,488.3922122681052,439.67778773189474
2017-10-09,MINDTREE,EQ,2017-10-09,480.05,482.0,485.0,474.2,477.6,479.65,479.89,302548,145188563.2,5576,140925,46.58,503.28427419476657,10,2017,-0.0008332465368191544,Slight or No change,1.0,465.8749999999999,489.0237751182117,442.7262248817881
2017-10-10,MINDTREE,EQ,2017-10-10,479.65,479.7,491.8,479.65,490.35,490.3,488.09,572305,279337719.5,11364,170252,29.75,503.14374859244464,10,2017,0.02220369019076407,Slight or No change,1.0,468.05999999999983,491.7906508438673,444.32934915613237
